ar_coefficients,repetition,horizon,method,error
0.9,29,0,flattened_forecast_error,35.744613205695565
0.9,29,1,flattened_forecast_error,47.867772645684276
0.9,30,0,flattened_forecast_error,41.64956965451409
0.9,30,1,flattened_forecast_error,41.03711172110964
0.9,31,0,flattened_forecast_error,176.41116396272184
0.9,31,1,flattened_forecast_error,196.15285973540904
0.9,32,0,flattened_forecast_error,64.18295439115415
0.9,32,1,flattened_forecast_error,69.67665184620921
0.9,33,0,flattened_forecast_error,114.46345169387995
0.9,33,1,flattened_forecast_error,95.22901018132434
0.9,34,0,flattened_forecast_error,43.45344683035172
0.9,34,1,flattened_forecast_error,18.962512362318513
0.9,35,0,flattened_forecast_error,89.45462142940353
0.9,35,1,flattened_forecast_error,79.29179376015175
0.9,36,0,flattened_forecast_error,31.028924900288708
0.9,36,1,flattened_forecast_error,57.79539879623601
0.9,37,0,flattened_forecast_error,27.23148320268933
0.9,37,1,flattened_forecast_error,36.22975458987115
0.9,38,0,flattened_forecast_error,101.08799956189985
0.9,38,1,flattened_forecast_error,103.00730185556306
0.9,39,0,flattened_forecast_error,23.174408286251143
0.9,39,1,flattened_forecast_error,33.31031720410992
0.9,40,0,flattened_forecast_error,70.00779020749356
0.9,40,1,flattened_forecast_error,52.418115078280806
0.9,41,0,flattened_forecast_error,51.07514964195963
0.9,41,1,flattened_forecast_error,84.3914824358338
0.9,42,0,flattened_forecast_error,112.8615898118971
0.9,42,1,flattened_forecast_error,95.82329103402975
0.9,43,0,flattened_forecast_error,50.38618602294541
0.9,43,1,flattened_forecast_error,75.43704709431974
0.9,44,0,flattened_forecast_error,129.92734068879298
0.9,44,1,flattened_forecast_error,138.9818209619044
0.9,45,0,flattened_forecast_error,38.63900615561819
0.9,45,1,flattened_forecast_error,42.011044976503634
0.9,46,0,flattened_forecast_error,39.76044570611161
0.9,46,1,flattened_forecast_error,36.13048408896123
0.9,47,0,flattened_forecast_error,41.988741142355174
0.9,47,1,flattened_forecast_error,48.08156627674268
0.9,48,0,flattened_forecast_error,125.33594090462036
0.9,48,1,flattened_forecast_error,168.71912013987878
0.9,49,0,flattened_forecast_error,66.18124886633322
0.9,49,1,flattened_forecast_error,17.493904764985007
0.1,0,0,tPCA_forecast_error,58.19274861009525
0.1,0,1,tPCA_forecast_error,42.459974833685685
0.1,1,0,tPCA_forecast_error,5.445964479440598
0.1,1,1,tPCA_forecast_error,53.29585123649668
0.1,2,0,tPCA_forecast_error,51.10889844211526
0.1,2,1,tPCA_forecast_error,48.3642157815709
0.1,3,0,tPCA_forecast_error,21.515065603573955
0.1,3,1,tPCA_forecast_error,21.394776691910064
0.1,4,0,tPCA_forecast_error,25.72050256613066
0.1,4,1,tPCA_forecast_error,53.51679556778593
0.1,5,0,tPCA_forecast_error,38.00894931297572
0.1,5,1,tPCA_forecast_error,23.343152129672685
0.1,6,0,tPCA_forecast_error,2.1455967896626955
0.1,6,1,tPCA_forecast_error,39.00562611228045
0.1,7,0,tPCA_forecast_error,95.39555960300393
0.1,7,1,tPCA_forecast_error,47.07700544538687
0.1,8,0,tPCA_forecast_error,20.013684525689957
0.1,8,1,tPCA_forecast_error,41.7234900756003
0.1,9,0,tPCA_forecast_error,19.28859909507356
0.1,9,1,tPCA_forecast_error,26.415803422568835
0.1,10,0,tPCA_forecast_error,59.02152181978599
0.1,10,1,tPCA_forecast_error,14.501439144208975
0.1,11,0,tPCA_forecast_error,34.93531742916404
0.1,11,1,tPCA_forecast_error,42.598593414670034
0.1,12,0,tPCA_forecast_error,25.083837804253147
0.1,12,1,tPCA_forecast_error,48.682526704215974
0.1,13,0,tPCA_forecast_error,14.720138498459884
0.1,13,1,tPCA_forecast_error,44.59836171465323
0.1,14,0,tPCA_forecast_error,31.26961154950234
0.1,14,1,tPCA_forecast_error,41.38800755634939
0.1,15,0,tPCA_forecast_error,28.1707377718491
0.1,15,1,tPCA_forecast_error,40.365543566163055
